player_key,team_key,season_key,pos,g,gs,perce,ts_per,usg_per,ws,bpm,vorp,mp,age,salary
willipa01,CHI,2021,PF,71,71,10.50,0.562,14.90,2.50,-2.40,-0.20,1983,19,8614149.00
greendr01,GSW,2021,PF,63,63,13.30,0.530,13.10,4.60,1.70,1.90,1982,30,27112175.00
johnske04,SAS,2021,SF,69,67,13.80,0.557,19.20,3.30,-1.60,0.20,1968,21,2495928.00
schrode01,LAL,2021,SG,61,61,13.80,0.543,22.90,3.80,-1.10,0.40,1956,27,
kuzmaky01,LAL,2021,SF,68,32,12.70,0.546,20.30,3.30,-0.40,0.80,1954,25,4341195.00
washipj01,CHO,2021,PF,64,61,13.40,0.549,19.40,2.70,-0.90,0.60,1954,22,4903526.00
bullore01,NYK,2021,SF,65,64,11.10,0.606,14.40,4.60,-0.10,0.90,1949,29,5118504.00
greenda02,PHI,2021,SF,69,69,12.10,0.582,14.00,4.60,1.90,1.90,1934,33,18726233.00
bridgmi02,CHO,2021,PF,66,19,14.70,0.625,17.30,4.20,0.20,1.10,1932,22,4794722.00
brogdma01,IND,2021,PG,56,56,17.90,0.561,25.90,4.20,2.10,2.00,1930,28,25226913.00
finnedo01,DAL,2021,PF,60,60,12.00,0.609,12.20,4.40,0.10,1.00,1921,27,4874765.00
portemi01,DEN,2021,SF,61,54,20.60,0.663,21.70,6.90,3.10,2.50,1912,22,
beysa01,DET,2021,SF,70,53,12.60,0.567,18.70,3.30,-0.50,0.70,1909,21,3278182.00
holidjr01,MIL,2021,PG,59,56,20.00,0.592,22.20,6.60,3.40,2.60,1907,30,32936368.00
lopezbr01,MIL,2021,C,70,70,15.40,0.611,16.90,5.30,0.00,0.90,1902,32,15474547.00
caldwke01,LAL,2021,SG,67,67,10.70,0.588,14.20,4.20,-0.50,0.70,1902,27,14713286.00
vanvlfr01,TOR,2021,SG,52,52,16.80,0.534,23.90,4.30,2.50,2.20,1899,26,25897193.00
capelca01,ATL,2021,C,63,63,24.30,0.601,19.90,8.20,2.70,2.20,1898,26,21936446.00
anderky01,MEM,2021,PF,69,69,17.20,0.578,18.50,5.60,3.30,2.50,1887,27,11583784.00
irvinky01,BRK,2021,PG,54,54,24.40,0.614,30.40,7.40,5.50,3.60,1886,28,41097748.00
simmobe01,PHI,2021,PG,58,58,18.30,0.584,20.20,6.00,2.90,2.30,1877,24,37242235.00
inglejo01,UTA,2021,SF,67,30,15.90,0.672,16.60,7.00,3.50,2.60,1867,33,12630075.00
allenja01,2TM,2021,C,63,45,20.10,0.661,16.60,6.40,1.10,1.40,1864,22,4764964.00
allenja01,BRK,2021,C,12,5,21.50,0.730,15.50,1.40,2.60,0.40,320,22,4764964.00
allenja01,CLE,2021,C,51,40,19.80,0.649,16.80,5.00,0.80,1.10,1544,22,4764964.00
bacondw01,ORL,2021,SG,72,50,9.90,0.490,19.80,0.50,-5.10,-1.50,1853,25,2046005.00
collijo01,ATL,2021,PF,63,63,20.60,0.645,22.20,6.70,2.30,2.00,1848,23,5042094.00
poeltja01,SAS,2021,C,69,51,17.50,0.612,13.40,5.70,0.80,1.30,1845,25,9873657.00
greenje02,BRK,2021,PF,68,38,13.00,0.624,15.60,4.10,-0.80,0.50,1835,34,3125642.00
batumni01,LAC,2021,SF,67,38,12.90,0.617,11.80,5.00,2.10,1.90,1835,32,14146851.00
grantje01,DET,2021,SF,54,54,16.90,0.556,28.50,3.20,1.10,1.40,1829,26,23216072.00
georgpa01,LAC,2021,SF,54,54,20.50,0.598,30.00,5.30,4.20,2.90,1821,30,43203114.00
clarkjo01,UTA,2021,SG,68,1,17.10,0.549,29.70,4.20,1.40,1.60,1818,28,14014951.00
divindo01,MIL,2021,SG,66,66,13.00,0.542,16.70,3.60,0.20,1.00,1814,24,3709891.00
trentga02,2TM,2021,SG,58,38,12.10,0.534,20.90,1.70,-2.30,-0.10,1802,22,2027733.00
trentga02,POR,2021,SG,41,23,12.40,0.550,20.10,1.50,-1.90,0.00,1262,22,2027733.00
trentga02,TOR,2021,SG,17,15,11.30,0.501,22.90,0.20,-3.10,-0.20,540,22,2027733.00
hachiru01,WAS,2021,PF,57,57,11.40,0.549,18.10,2.10,-3.10,-0.50,1797,22,5719123.00
mccontj01,IND,2021,PG,69,3,16.90,0.583,15.30,4.80,1.40,1.50,1796,28,4265420.00
richajo01,DAL,2021,SG,59,56,11.90,0.537,18.40,2.40,-1.70,0.10,1790,27,13242242.00
garlada01,CLE,2021,PG,54,50,14.20,0.547,24.90,1.20,-2.10,-0.10,1790,21,8190484.00
holmeri01,SAC,2021,C,61,61,20.20,0.669,17.50,6.10,0.60,1.20,1782,27,6099977.00
maledth01,OKC,2021,PG,65,49,8.20,0.489,19.40,-0.80,-5.00,-1.30,1778,19,2437382.00
leonaka01,LAC,2021,SF,52,52,26.00,0.622,28.60,8.80,7.30,4.20,1773,29,41897515.00
rubiori01,MIN,2021,PG,68,51,13.50,0.516,16.00,3.10,-1.90,0.00,1772,30,20717754.00
mitchdo01,UTA,2021,PG,53,53,21.30,0.569,33.50,6.20,4.30,2.80,1771,24,6331712.00
kanteen01,POR,2021,C,72,35,22.40,0.636,17.40,7.50,0.60,1.20,1758,28,
valanjo01,MEM,2021,C,62,61,24.40,0.636,22.40,7.80,3.00,2.20,1755,28,18280371.00
wrighde01,2TM,2021,PG,63,39,16.30,0.562,16.30,4.30,2.20,1.80,1748,28,10968223.00
wrighde01,DET,2021,PG,36,31,16.50,0.562,15.80,2.90,2.80,1.20,1052,28,10968223.00
wrighde01,SAC,2021,PG,27,8,15.90,0.563,17.10,1.30,1.20,0.60,696,28,10968223.00
balllo01,NOP,2021,PG,55,55,15.20,0.551,20.50,3.20,1.70,1.60,1747,23,13410215.00
halibty01,SAC,2021,PG,58,20,16.20,0.585,18.10,3.50,1.40,1.50,1746,20,4669830.00
butleji01,MIA,2021,SF,52,52,26.50,0.607,26.60,9.30,7.70,4.30,1745,31,41897515.00
bartowi01,DEN,2021,SF,56,52,11.80,0.538,19.00,2.20,-1.90,0.10,1736,30,16724363.00
bazleda01,OKC,2021,PF,55,55,9.70,0.491,22.10,-0.90,-4.40,-1.00,1714,20,2923835.00
murraja01,DEN,2021,PG,48,48,18.30,0.592,24.80,4.60,2.00,1.70,1704,23,33251996.00
brunsja01,DAL,2021,PG,68,12,17.10,0.618,20.20,5.10,0.90,1.20,1697,24,2027733.00
anthoca01,POR,2021,PF,69,3,14.60,0.547,23.10,2.60,-1.10,0.40,1690,36,3125642.00
townska01,MIN,2021,C,50,50,23.10,0.612,29.10,5.40,4.50,2.80,1689,25,35912155.00
oubreke01,GSW,2021,SF,55,50,13.30,0.529,22.10,2.20,-1.90,0.00,1687,25,
millspa02,SAS,2021,PG,68,1,11.80,0.570,18.40,2.20,-1.20,0.40,1685,32,
grahade01,CHO,2021,PG,55,44,14.60,0.552,21.40,3.40,0.70,1.10,1659,25,
youngth01,CHI,2021,PF,68,23,20.30,0.578,22.30,5.10,3.30,2.20,1652,32,16507175.00
nunnke01,MIA,2021,PG,56,44,14.20,0.596,20.90,2.90,-0.50,0.60,1650,25,2027733.00
crowdja01,PHO,2021,PF,60,42,11.80,0.574,15.70,3.30,1.10,1.30,1648,30,11282645.00
curryse01,PHI,2021,SG,57,57,12.90,0.607,17.10,4.00,-0.30,0.70,1638,30,9547776.00
herroty01,MIA,2021,SG,54,15,13.30,0.543,23.50,1.70,-1.30,0.30,1635,21,4658131.00
mcderdo01,IND,2021,PF,66,29,15.60,0.635,20.00,3.80,-0.60,0.60,1619,29,8937070.00
zubaciv01,LAC,2021,C,72,33,19.10,0.693,15.10,6.90,1.00,1.20,1609,23,8530840.00
hardeja01,2TM,2021,PG,44,43,24.50,0.618,28.40,7.00,7.20,3.70,1609,31,50277018.00
hardeja01,HOU,2021,PG,8,8,22.40,0.613,28.70,1.00,4.80,0.50,290,31,50277018.00
hardeja01,BRK,2021,PG,36,35,25.00,0.619,28.40,6.00,7.70,3.20,1319,31,50277018.00
adamsst01,NOP,2021,C,58,58,15.10,0.596,11.70,4.00,-0.30,0.70,1605,27,36064364.00
lowryky01,TOR,2021,PG,46,46,16.50,0.593,21.40,4.10,1.60,1.50,1601,34,37170089.00
theisda01,2TM,2021,C,65,51,15.00,0.609,15.60,4.30,0.00,0.80,1601,28,6093457.00
theisda01,BOS,2021,C,42,37,15.00,0.625,15.00,2.90,0.40,0.60,1027,28,6093457.00
theisda01,CHI,2021,C,23,14,14.90,0.584,16.80,1.40,-0.70,0.20,574,28,6093457.00
mccolcj01,POR,2021,SG,47,47,20.80,0.577,27.10,4.70,3.90,2.40,1600,29,35773654.00
embiijo01,PHI,2021,C,51,51,30.30,0.636,35.30,8.80,7.50,3.80,1585,26,36002595.00
smartma01,BOS,2021,PG,48,45,13.80,0.539,18.40,3.30,-0.30,0.70,1581,26,15777701.00
harremo01,LAL,2021,C,69,1,22.70,0.650,21.70,7.30,3.00,2.00,1580,27,11282645.00
connapa01,MIL,2021,SG,69,4,11.30,0.578,11.60,3.50,0.00,0.80,1575,28,6018231.00
jacksjo02,DET,2021,SG,62,25,12.00,0.516,26.50,0.10,-3.00,-0.40,1560,23,5809502.00
noelne01,NYK,2021,C,64,41,14.80,0.638,9.20,5.20,1.40,1.30,1547,26,6093457.00
jacksre01,LAC,2021,SG,67,43,14.20,0.576,19.90,3.70,0.40,0.90,1544,30,2841492.00
dortlu01,OKC,2021,SG,52,52,10.10,0.513,21.70,0.30,-3.50,-0.60,1543,21,1849950.00
birchkh01,2TM,2021,C,67,22,15.10,0.552,13.60,3.80,-1.00,0.40,1529,28,3670087.00
birchkh01,ORL,2021,C,48,5,14.10,0.517,12.20,2.10,-1.60,0.10,952,28,3670087.00
birchkh01,TOR,2021,C,19,17,16.90,0.596,15.80,1.70,0.10,0.30,577,28,3670087.00
templga01,CHI,2021,SG,56,25,8.20,0.525,13.10,1.60,-3.00,-0.40,1528,34,5809502.00
walkelo01,SAS,2021,SG,60,38,9.80,0.523,20.10,0.40,-3.70,-0.70,1522,22,
banede01,MEM,2021,SG,68,17,12.20,0.600,16.10,2.90,-0.80,0.50,1519,22,2359922.00
hillso01,ATL,2021,PF,71,16,6.70,0.498,10.40,1.30,-2.50,-0.20,1513,29,2649822.00
mcdanja02,MIN,2021,PF,63,27,8.90,0.552,12.00,1.40,-3.50,-0.60,1511,20,2394436.00
osmande01,CLE,2021,SF,59,26,10.30,0.488,20.40,0.50,-3.20,-0.50,1510,25,10773939.00
jamesle01,LAL,2021,PG,45,45,24.20,0.602,31.90,5.60,8.10,3.80,1504,36,47796549.00
morrima03,LAC,2021,PF,57,29,14.50,0.614,20.10,3.60,0.00,0.80,1502,31,18138663.00
plumlma01,DET,2021,C,56,56,18.70,0.638,16.30,5.10,2.20,1.60,1499,30,9749531.00
conlemi01,UTA,2021,PG,51,51,19.20,0.589,23.10,6.10,4.90,2.60,1498,33,42047453.00
haywago01,CHO,2021,SF,44,44,17.60,0.584,23.90,3.50,1.60,1.40,1496,30,34732706.00
leverca01,2TM,2021,SG,47,39,17.80,0.531,28.70,2.40,0.40,0.90,1486,26,19747315.00
leverca01,BRK,2021,SG,12,4,19.10,0.516,31.50,0.60,1.50,0.30,334,26,19747315.00
leverca01,IND,2021,SG,35,35,17.40,0.535,27.90,1.80,0.00,0.60,1152,26,19747315.00
paytoel01,NYK,2021,PG,63,63,11.70,0.478,23.20,1.00,-3.00,-0.40,1484,26,5809502.00
ballla01,CHO,2021,PG,51,31,17.50,0.539,26.10,2.80,1.80,1.40,1469,19,9554492.00
bertada01,WAS,2021,PF,57,7,11.40,0.620,15.90,3.10,-0.80,0.40,1464,28,18280371.00
miltosh01,PHI,2021,SG,63,4,14.60,0.549,24.90,2.80,-1.60,0.10,1461,24,2073716.00
stewais01,DET,2021,C,68,14,16.40,0.597,15.50,4.00,-1.10,0.30,1455,19,3803633.00
turnemy01,IND,2021,C,47,47,15.30,0.599,16.40,3.30,0.40,0.90,1455,24,21936446.00
bouchch01,TOR,2021,C,60,14,21.90,0.634,20.50,6.10,3.30,2.00,1453,28,7921494.00
brownbr01,BRK,2021,PG,65,37,16.10,0.604,15.90,4.40,-0.10,0.70,1451,24,2027733.00
josepco01,2TM,2021,PG,63,13,12.50,0.556,16.30,2.10,-1.80,0.10,1446,29,15355512.00
josepco01,SAC,2021,PG,44,2,9.90,0.534,14.30,0.70,-3.30,-0.30,944,29,15355512.00
josepco01,DET,2021,PG,19,11,17.30,0.588,19.90,1.40,0.90,0.40,502,29,15355512.00
johnsca02,PHO,2021,PF,60,11,11.80,0.563,17.00,2.60,-0.20,0.70,1437,24,5161353.00
anunoog01,TOR,2021,SF,43,43,15.40,0.605,19.30,3.10,1.20,1.20,1433,23,4719035.00
willike04,OKC,2021,PF,66,13,14.00,0.599,15.30,2.80,-0.70,0.40,1426,26,2437382.00
campafa01,DEN,2021,PG,65,19,11.60,0.558,13.10,3.10,-0.60,0.50,1425,29,3899812.00
robyis01,OKC,2021,PF,61,34,11.90,0.555,17.70,1.30,-3.30,-0.50,1425,22,1849950.00
willilo02,2TM,2021,PG,66,4,14.00,0.519,25.70,1.70,-2.50,-0.20,1423,34,
willilo02,LAC,2021,PG,42,3,15.70,0.529,26.50,1.60,-1.50,0.10,918,34,
willilo02,ATL,2021,PG,24,1,10.80,0.498,24.30,0.00,-4.30,-0.30,505,34,
clarkbr01,MEM,2021,PF,59,16,17.30,0.560,17.20,4.20,1.50,1.30,1415,24,3172156.00
netora01,WAS,2021,PG,64,22,13.00,0.575,15.80,2.80,-0.60,0.50,1403,28,2294633.00
shamela01,BRK,2021,SG,61,12,10.30,0.578,16.70,1.80,-2.40,-0.20,1403,23,2547113.00
gordoaa01,2TM,2021,PF,50,50,14.50,0.547,20.70,1.90,0.10,0.70,1384,25,22102631.00
gordoaa01,ORL,2021,PF,25,25,14.90,0.537,23.80,0.60,0.60,0.50,736,25,22102631.00
gordoaa01,DEN,2021,PF,25,25,14.10,0.564,17.20,1.30,-0.40,0.30,648,25,22102631.00
cartewe01,2TM,2021,C,54,44,16.70,0.566,19.30,3.40,-1.30,0.20,1375,21,
cartewe01,CHI,2021,C,32,25,16.30,0.578,19.10,2.10,-1.00,0.20,792,21,
cartewe01,ORL,2021,C,22,19,17.30,0.549,19.50,1.20,-1.70,0.00,583,21,
portibo01,MIL,2021,C,66,7,19.90,0.598,20.90,4.80,1.50,1.20,1372,25,4415319.00
walkeke02,BOS,2021,PG,43,43,17.70,0.559,26.10,3.30,2.10,1.40,1369,30,41897515.00
gayru01,SAS,2021,PF,63,1,14.70,0.532,23.60,1.70,-0.10,0.60,1358,34,17671026.00
tuckepj01,2TM,2021,PF,52,33,5.50,0.510,7.20,1.00,-4.10,-0.70,1356,35,9712406.00
tuckepj01,HOU,2021,PF,32,32,5.50,0.500,7.70,0.40,-4.60,-0.60,959,35,9712406.00
tuckepj01,MIL,2021,PF,20,1,5.70,0.539,5.80,0.50,-2.90,-0.10,397,35,9712406.00
lopezro01,WAS,2021,C,71,9,16.70,0.661,17.10,3.70,-1.00,0.40,1354,32,8896447.00
forbebr01,MIL,2021,SG,70,10,12.80,0.631,18.50,2.70,-1.30,0.20,1354,27,2848258.00
biyombi01,CHO,2021,C,66,36,11.70,0.574,11.50,2.30,-3.00,-0.40,1349,28,4265420.00
hartjo01,NOP,2021,SF,47,4,12.20,0.566,13.50,2.70,-0.80,0.40,1349,25,4254645.00
reidna01,MIN,2021,C,70,15,18.20,0.599,22.50,3.20,-0.20,0.60,1347,21,1849950.00
rosste01,ORL,2021,SG,46,2,13.20,0.530,24.10,0.90,-2.30,-0.10,1347,29,16452334.00
klebima01,DAL,2021,PF,50,40,10.60,0.606,10.60,2.90,0.00,0.70,1341,29,10328410.00
iguodan01,MIA,2021,SF,63,5,9.20,0.519,11.20,1.70,-0.40,0.50,1339,37,18280371.00
dragigo01,MIA,2021,PG,50,11,13.00,0.552,24.50,1.30,-2.30,-0.10,1337,34,21936446.00
bazemke01,GSW,2021,SF,67,18,10.60,0.564,16.30,1.80,-1.20,0.20,1333,31,2827417.00
porzikr01,DAL,2021,C,43,43,21.30,0.582,26.50,4.30,2.20,1.40,1327,25,35912155.00
woodch01,HOU,2021,C,41,41,20.00,0.591,25.90,2.80,1.40,1.10,1326,25,15862334.00
